Timestamp,Energy Consumption (kWh),Temperature (°C),Building Occupancy,Energy Tariff ($/kWh),Efficiency Recommendations,Estimated Cost Savings ($)
4/9/2023 19:00,18.21,19.81,94,0.21,Shift heavy operations to off-peak hours.,0.27
4/9/2023 20:00,12.1,32.55,115,0.14,No action needed,0
4/9/2023 21:00,13.31,23.85,40,0.17,No action needed,0
4/9/2023 22:00,23.11,33.87,6,0.23,Reduce HVAC cooling to save energy.; Turn off unnecessary lights in unoccupied areas.; Shift heavy operations to off-peak hours.,0.8
4/9/2023 23:00,18.51,23.11,93,0.28,Shift heavy operations to off-peak hours.,0.36
4/10/2023 0:00,24.64,27.56,108,0.21,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.62
4/10/2023 1:00,15.48,26.28,62,0.25,Shift heavy operations to off-peak hours.,0.27
4/10/2023 2:00,14.94,23.21,97,0.23,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.38
4/10/2023 3:00,22.64,34.6,72,0.22,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.6
4/10/2023 4:00,8.66,16.89,138,0.15,No action needed,0
4/10/2023 5:00,22.13,21.86,8,0.19,Turn off unnecessary lights in unoccupied areas.,0.13
4/10/2023 6:00,12.09,28.97,31,0.19,No action needed,0
4/10/2023 7:00,16.65,25.2,12,0.11,No action needed,0
4/10/2023 8:00,7.7,23.55,88,0.17,No action needed,0
4/10/2023 9:00,20.22,32.87,19,0.23,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.56
4/10/2023 10:00,16.09,15.82,130,0.18,Investigate devices left on overnight.,0.12
4/10/2023 11:00,21.41,30.33,6,0.3,Reduce HVAC cooling to save energy.; Turn off unnecessary lights in unoccupied areas.; Shift heavy operations to off-peak hours.,0.96
4/10/2023 12:00,21.91,22.86,7,0.22,Turn off unnecessary lights in unoccupied areas.; Shift heavy operations to off-peak hours.,0.48
4/10/2023 13:00,21.04,21.7,36,0.27,Shift heavy operations to off-peak hours.,0.4
4/10/2023 14:00,24.64,24.29,132,0.23,Shift heavy operations to off-peak hours.,0.4
4/10/2023 15:00,22.53,19.73,122,0.26,Shift heavy operations to off-peak hours.,0.41
4/10/2023 16:00,14.5,20.42,93,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.41
4/10/2023 17:00,22.21,24.25,24,0.19,Investigate devices left on overnight.,0.17
4/10/2023 18:00,10.86,33.97,49,0.21,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.25
4/10/2023 19:00,20.85,16.59,118,0.29,Shift heavy operations to off-peak hours.,0.42
4/10/2023 20:00,18.84,31.47,44,0.29,Shift heavy operations to off-peak hours.,0.38
4/10/2023 21:00,10.49,29.51,20,0.28,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.32
4/10/2023 22:00,15.23,20.21,47,0.22,Shift heavy operations to off-peak hours.,0.23
4/10/2023 23:00,7.08,20.64,91,0.28,Shift heavy operations to off-peak hours.,0.14
4/11/2023 0:00,8.61,32.96,92,0.19,No action needed,0
4/11/2023 1:00,10.36,17.49,128,0.18,No action needed,0
4/11/2023 2:00,16.07,22.78,77,0.24,Shift heavy operations to off-peak hours.,0.27
4/11/2023 3:00,17.18,24.64,27,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.49
4/11/2023 4:00,19.34,34.39,136,0.24,Shift heavy operations to off-peak hours.,0.32
4/11/2023 5:00,17.84,15.73,74,0.21,Shift heavy operations to off-peak hours.,0.26
4/11/2023 6:00,20.75,24.67,13,0.28,Shift heavy operations to off-peak hours.,0.41
4/11/2023 7:00,17.78,34.53,84,0.23,Shift heavy operations to off-peak hours.,0.29
4/11/2023 8:00,22.37,20.52,104,0.2,No action needed,0
4/11/2023 9:00,20.26,23.64,87,0.16,Investigate devices left on overnight.,0.13
4/11/2023 10:00,23.14,29.32,86,0.14,Reduce HVAC cooling to save energy.; Investigate devices left on overnight.,0.29
4/11/2023 11:00,13.01,32.24,44,0.15,No action needed,0
4/11/2023 12:00,11.02,19.52,24,0.11,No action needed,0
4/11/2023 13:00,17.88,23.26,79,0.26,Shift heavy operations to off-peak hours.,0.33
4/11/2023 14:00,24.04,17.66,102,0.18,No action needed,0
4/11/2023 15:00,16.91,31.57,136,0.11,Investigate devices left on overnight.,0.07
4/11/2023 16:00,16.99,21.41,134,0.23,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.43
4/11/2023 17:00,13.27,23.63,121,0.23,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.34
4/11/2023 18:00,16.9,27,50,0.26,Shift heavy operations to off-peak hours.,0.31
4/11/2023 19:00,17.95,29.17,149,0.18,No action needed,0
4/11/2023 20:00,12.79,22.61,40,0.23,Shift heavy operations to off-peak hours.,0.21
4/11/2023 21:00,19.69,17.44,19,0.17,No action needed,0
4/11/2023 22:00,20.3,25.91,136,0.28,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.68
4/11/2023 23:00,18.92,20.41,29,0.1,No action needed,0
4/12/2023 0:00,7.77,18.15,18,0.12,No action needed,0
4/12/2023 1:00,9.62,32.8,129,0.21,Shift heavy operations to off-peak hours.,0.14
4/12/2023 2:00,22.68,25.84,5,0.19,Reduce HVAC cooling to save energy.; Turn off unnecessary lights in unoccupied areas.; Investigate devices left on overnight.,0.52
4/12/2023 3:00,6.75,17.05,30,0.27,Shift heavy operations to off-peak hours.,0.13
4/12/2023 4:00,22.59,25.61,75,0.14,Reduce HVAC cooling to save energy.,0.16
4/12/2023 5:00,7.91,27.3,138,0.18,No action needed,0
4/12/2023 6:00,23.5,23.76,87,0.12,No action needed,0
4/12/2023 7:00,18,25.64,136,0.1,No action needed,0
4/12/2023 8:00,17.3,32.96,72,0.18,No action needed,0
4/12/2023 9:00,19.49,15.6,91,0.28,Shift heavy operations to off-peak hours.,0.38
4/12/2023 10:00,11.08,22.05,85,0.14,Investigate devices left on overnight.,0.06
4/12/2023 11:00,9.94,34.88,102,0.24,Shift heavy operations to off-peak hours.,0.17
4/12/2023 12:00,8.88,29.36,117,0.24,Shift heavy operations to off-peak hours.,0.15
4/12/2023 13:00,6.92,27.4,115,0.27,Shift heavy operations to off-peak hours.,0.13
4/12/2023 14:00,18.42,26.38,65,0.1,Investigate devices left on overnight.,0.07
4/12/2023 15:00,23.74,25.4,73,0.23,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.66
4/12/2023 16:00,21.54,32.62,113,0.13,Reduce HVAC cooling to save energy.,0.14
4/12/2023 17:00,14.48,22.47,33,0.12,No action needed,0
4/12/2023 18:00,20.28,17.9,107,0.14,No action needed,0
4/12/2023 19:00,22.24,33.28,26,0.21,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.56
4/12/2023 20:00,18.04,30.92,80,0.23,Shift heavy operations to off-peak hours.,0.29
4/12/2023 21:00,12.15,25.91,97,0.27,Shift heavy operations to off-peak hours.,0.23
4/12/2023 22:00,11.87,21.92,97,0.26,Shift heavy operations to off-peak hours.,0.22
4/12/2023 23:00,15.74,23.03,124,0.23,Shift heavy operations to off-peak hours.,0.25
4/13/2023 0:00,12.73,16.38,19,0.27,Shift heavy operations to off-peak hours.,0.24
4/13/2023 1:00,12.64,24.55,33,0.12,Investigate devices left on overnight.,0.06
4/13/2023 2:00,22.81,24.42,8,0.28,Turn off unnecessary lights in unoccupied areas.; Shift heavy operations to off-peak hours.,0.64
4/13/2023 3:00,9.82,34.36,5,0.16,Turn off unnecessary lights in unoccupied areas.,0.05
4/13/2023 4:00,20.2,27.89,32,0.14,Reduce HVAC cooling to save energy.,0.14
4/13/2023 5:00,19.87,19.05,120,0.29,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.63
4/13/2023 6:00,9.37,31.33,51,0.14,No action needed,0
4/13/2023 7:00,14.57,33.98,109,0.25,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.4
4/13/2023 8:00,21.99,28.45,87,0.22,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.58
4/13/2023 9:00,10.27,27.2,71,0.17,No action needed,0
4/13/2023 10:00,24.34,25.14,28,0.22,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.86
4/13/2023 11:00,6.14,19.02,145,0.24,Shift heavy operations to off-peak hours.,0.1
4/13/2023 12:00,16.45,22.42,23,0.11,Investigate devices left on overnight.,0.07
4/13/2023 13:00,19.75,15.54,137,0.13,No action needed,0
4/13/2023 14:00,14.89,23.6,65,0.27,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.44
4/13/2023 15:00,14.73,30.06,102,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.42
4/13/2023 16:00,17.94,23.81,81,0.14,No action needed,0
4/13/2023 17:00,15.31,19.31,66,0.27,Shift heavy operations to off-peak hours.,0.29
4/13/2023 18:00,6.59,32.49,113,0.13,No action needed,0
4/13/2023 19:00,23.52,26.3,148,0.18,Reduce HVAC cooling to save energy.,0.21
4/13/2023 20:00,20.11,28.97,136,0.16,Reduce HVAC cooling to save energy.,0.16
4/13/2023 21:00,22.09,21.7,148,0.21,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.51
4/13/2023 22:00,12.02,26.45,148,0.19,No action needed,0
4/13/2023 23:00,9.85,22.39,10,0.13,No action needed,0
4/14/2023 0:00,13.98,17,146,0.27,Shift heavy operations to off-peak hours.,0.26
4/14/2023 1:00,6.48,23.53,48,0.23,Shift heavy operations to off-peak hours.,0.1
4/14/2023 2:00,13.16,26.74,55,0.23,Shift heavy operations to off-peak hours.,0.21
4/14/2023 3:00,9.59,33.35,29,0.17,No action needed,0
4/14/2023 4:00,15.69,17.65,75,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.45
4/14/2023 5:00,5.16,33.88,38,0.1,No action needed,0
4/14/2023 6:00,7.5,25.64,103,0.24,Shift heavy operations to off-peak hours.,0.13
4/14/2023 7:00,14.08,29.85,22,0.11,No action needed,0
4/14/2023 8:00,6.55,27.93,99,0.16,No action needed,0
4/14/2023 9:00,10.08,15.72,132,0.18,No action needed,0
4/14/2023 10:00,22.97,32.58,90,0.11,Reduce HVAC cooling to save energy.,0.13
4/14/2023 11:00,11.14,19.93,67,0.23,Shift heavy operations to off-peak hours.,0.18
4/14/2023 12:00,24.69,31.95,62,0.14,Reduce HVAC cooling to save energy.; Investigate devices left on overnight.,0.31
4/14/2023 13:00,9.13,25.64,34,0.17,No action needed,0
4/14/2023 14:00,10.37,25.04,127,0.11,No action needed,0
4/14/2023 15:00,5.44,32.48,133,0.21,Shift heavy operations to off-peak hours.,0.08
4/14/2023 16:00,18.75,17.17,34,0.23,Shift heavy operations to off-peak hours.,0.3
4/14/2023 17:00,5.3,19.26,94,0.13,No action needed,0
4/14/2023 18:00,7.7,20.81,149,0.2,No action needed,0
4/14/2023 19:00,15.48,29.61,77,0.2,No action needed,0
4/14/2023 20:00,23.4,26.56,123,0.26,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.73
4/14/2023 21:00,18.04,34.38,84,0.28,Shift heavy operations to off-peak hours.,0.35
4/14/2023 22:00,11.32,20.46,49,0.1,Investigate devices left on overnight.,0.05
4/14/2023 23:00,12.29,29.85,138,0.12,No action needed,0
4/15/2023 0:00,14.51,18.34,83,0.23,Shift heavy operations to off-peak hours.,0.23
4/15/2023 1:00,13.58,27.95,42,0.19,Investigate devices left on overnight.,0.1
4/15/2023 2:00,22.38,34.65,22,0.25,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.67
4/15/2023 3:00,10.8,22.42,85,0.18,No action needed,0
4/15/2023 4:00,14.19,26.79,76,0.12,No action needed,0
4/15/2023 5:00,19.83,32.25,47,0.17,No action needed,0
4/15/2023 6:00,10.14,16.74,82,0.23,Shift heavy operations to off-peak hours.,0.16
4/15/2023 7:00,20.76,30.08,103,0.22,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.73
4/15/2023 8:00,18.31,31.17,50,0.19,No action needed,0
4/15/2023 9:00,14.84,15.1,126,0.24,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.39
4/15/2023 10:00,18.42,23.23,55,0.24,Shift heavy operations to off-peak hours.,0.31
4/15/2023 11:00,20.19,32.93,132,0.25,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.61
4/15/2023 12:00,7.15,32.59,38,0.12,No action needed,0
4/15/2023 13:00,15.29,15.63,65,0.12,No action needed,0
4/15/2023 14:00,19.08,23.04,70,0.26,Shift heavy operations to off-peak hours.,0.35
4/15/2023 15:00,18.48,26.2,90,0.18,No action needed,0
4/15/2023 16:00,14.43,26.08,98,0.12,No action needed,0
4/15/2023 17:00,17.49,30.18,102,0.27,Shift heavy operations to off-peak hours.,0.33
4/15/2023 18:00,20.13,22.78,119,0.13,No action needed,0
4/15/2023 19:00,8.86,16.56,144,0.24,Shift heavy operations to off-peak hours.,0.15
4/15/2023 20:00,18.89,27.11,64,0.12,Investigate devices left on overnight.,0.09
4/15/2023 21:00,17.45,33.2,105,0.19,No action needed,0
4/15/2023 22:00,5.55,25.1,105,0.22,Shift heavy operations to off-peak hours.,0.09
4/15/2023 23:00,7.05,27.34,109,0.2,No action needed,0
4/16/2023 0:00,7.03,28.83,41,0.16,No action needed,0
4/16/2023 1:00,23.35,27.92,59,0.1,Reduce HVAC cooling to save energy.,0.12
4/16/2023 2:00,21.75,34.61,85,0.14,Reduce HVAC cooling to save energy.; Investigate devices left on overnight.,0.27
4/16/2023 3:00,6.83,33.98,44,0.22,Shift heavy operations to off-peak hours.,0.11
4/16/2023 4:00,20.73,22.67,65,0.17,No action needed,0
4/16/2023 5:00,13.98,32.38,5,0.22,Turn off unnecessary lights in unoccupied areas.; Shift heavy operations to off-peak hours.,0.31
4/16/2023 6:00,7,19,76,0.18,No action needed,0
4/16/2023 7:00,11.94,26.46,58,0.21,Shift heavy operations to off-peak hours.,0.18
4/16/2023 8:00,9.34,21.6,52,0.13,No action needed,0
4/16/2023 9:00,17.73,19.57,125,0.11,No action needed,0
4/16/2023 10:00,8.38,25.44,63,0.3,Shift heavy operations to off-peak hours.,0.18
4/16/2023 11:00,21.63,26.37,13,0.16,Reduce HVAC cooling to save energy.; Investigate devices left on overnight.,0.31
4/16/2023 12:00,21.3,21.92,68,0.21,Shift heavy operations to off-peak hours.,0.31
4/16/2023 13:00,12.82,25.4,139,0.22,Shift heavy operations to off-peak hours.,0.2
4/16/2023 14:00,19.17,28.6,101,0.18,No action needed,0
4/16/2023 15:00,11.87,20.07,39,0.27,Shift heavy operations to off-peak hours.,0.22
4/16/2023 16:00,14.86,32.95,113,0.19,No action needed,0
4/16/2023 17:00,5.59,29.6,127,0.12,No action needed,0
4/16/2023 18:00,16.47,30.3,79,0.23,Shift heavy operations to off-peak hours.,0.27
4/16/2023 19:00,11.81,15.39,78,0.23,Shift heavy operations to off-peak hours.,0.19
4/16/2023 20:00,23.93,24.02,67,0.29,Shift heavy operations to off-peak hours.,0.49
4/16/2023 21:00,16.81,33.95,75,0.17,No action needed,0
4/16/2023 22:00,7.09,23.32,100,0.1,No action needed,0
4/16/2023 23:00,19.39,21.09,48,0.22,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.47
4/17/2023 0:00,6.34,16.75,17,0.16,No action needed,0
4/17/2023 1:00,17.66,22.92,31,0.11,No action needed,0
4/17/2023 2:00,8.72,20.8,18,0.26,Shift heavy operations to off-peak hours.,0.16
4/17/2023 3:00,23.28,26,37,0.25,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.93
4/17/2023 4:00,11.75,23.26,27,0.23,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.3
4/17/2023 5:00,7.86,29.51,27,0.2,No action needed,0
4/17/2023 6:00,11,24.23,105,0.22,Shift heavy operations to off-peak hours.,0.17
4/17/2023 7:00,23.93,29.05,53,0.19,Reduce HVAC cooling to save energy.,0.23
4/17/2023 8:00,22.93,31.09,75,0.14,Reduce HVAC cooling to save energy.,0.16
4/17/2023 9:00,14.66,23.29,59,0.18,Investigate devices left on overnight.,0.11
4/17/2023 10:00,6.96,19.59,32,0.3,Shift heavy operations to off-peak hours.,0.15
4/17/2023 11:00,11.99,18.75,28,0.15,No action needed,0
4/17/2023 12:00,8.89,18.47,106,0.15,No action needed,0
4/17/2023 13:00,9.02,26.36,100,0.19,No action needed,0
4/17/2023 14:00,9.97,22.31,107,0.15,No action needed,0
4/17/2023 15:00,23.11,31.25,34,0.11,Reduce HVAC cooling to save energy.,0.13
4/17/2023 16:00,21.73,28.46,74,0.23,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.8
4/17/2023 17:00,5.76,33.28,112,0.25,Shift heavy operations to off-peak hours.,0.1
4/17/2023 18:00,5.06,18.26,110,0.13,No action needed,0
4/17/2023 19:00,5.43,30.11,70,0.26,Shift heavy operations to off-peak hours.,0.1
4/17/2023 20:00,18,16.44,86,0.14,Investigate devices left on overnight.,0.1
4/17/2023 21:00,20.99,33.85,129,0.22,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.55
4/17/2023 22:00,18.24,20.5,76,0.25,Shift heavy operations to off-peak hours.,0.32
4/17/2023 23:00,24.98,25.37,50,0.27,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.81
4/18/2023 0:00,20.81,16.51,58,0.15,No action needed,0
4/18/2023 1:00,20.1,19.08,149,0.26,Shift heavy operations to off-peak hours.,0.37
4/18/2023 2:00,22.91,26.21,9,0.1,Reduce HVAC cooling to save energy.; Turn off unnecessary lights in unoccupied areas.,0.18
4/18/2023 3:00,21.41,20.52,60,0.1,No action needed,0
4/18/2023 4:00,16.77,29.12,105,0.28,Shift heavy operations to off-peak hours.,0.33
4/18/2023 5:00,20.57,28.84,143,0.23,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.57
4/18/2023 6:00,9.73,19.24,113,0.18,No action needed,0
4/18/2023 7:00,13.93,27.73,48,0.22,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.34
4/18/2023 8:00,14.26,20.66,123,0.13,No action needed,0
4/18/2023 9:00,10.28,28.44,124,0.14,Investigate devices left on overnight.,0.06
4/18/2023 10:00,23.02,30.63,142,0.19,Reduce HVAC cooling to save energy.,0.22
4/18/2023 11:00,9.27,32.73,37,0.21,Shift heavy operations to off-peak hours.,0.14
4/18/2023 12:00,7.31,32.81,103,0.18,No action needed,0
4/18/2023 13:00,9.35,26.75,79,0.13,No action needed,0
4/18/2023 14:00,16.57,26.65,39,0.22,Shift heavy operations to off-peak hours.,0.26
4/18/2023 15:00,6.17,29.38,57,0.3,Shift heavy operations to off-peak hours.,0.13
4/18/2023 16:00,15.42,23.8,47,0.23,Shift heavy operations to off-peak hours.,0.25
4/18/2023 17:00,20.94,17.82,49,0.23,Shift heavy operations to off-peak hours.,0.34
4/18/2023 18:00,12,31.39,77,0.11,No action needed,0
4/18/2023 19:00,7.08,23.15,15,0.11,No action needed,0
4/18/2023 20:00,12.53,33.2,81,0.11,No action needed,0
4/18/2023 21:00,7.58,33.96,48,0.22,Shift heavy operations to off-peak hours.,0.12
4/18/2023 22:00,24.2,28.41,118,0.25,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.73
4/18/2023 23:00,8.14,33.26,36,0.21,Shift heavy operations to off-peak hours.,0.12
4/19/2023 0:00,13.06,30.92,138,0.17,No action needed,0
4/19/2023 1:00,24.86,24,61,0.11,No action needed,0
4/19/2023 2:00,18.78,32.95,56,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.54
4/19/2023 3:00,15.37,24.29,110,0.15,No action needed,0
4/19/2023 4:00,16.74,23.09,150,0.17,No action needed,0
4/19/2023 5:00,7.78,32.5,111,0.26,Shift heavy operations to off-peak hours.,0.14
4/19/2023 6:00,5.99,15.07,92,0.28,Shift heavy operations to off-peak hours.,0.12
4/19/2023 7:00,18.14,29.13,68,0.17,No action needed,0
4/19/2023 8:00,12.71,28.69,9,0.11,Turn off unnecessary lights in unoccupied areas.,0.04
4/19/2023 9:00,9.29,26.34,88,0.12,No action needed,0
4/19/2023 10:00,12.72,28.72,67,0.21,Shift heavy operations to off-peak hours.,0.19
4/19/2023 11:00,22.78,33.15,35,0.11,Reduce HVAC cooling to save energy.; Investigate devices left on overnight.,0.23
4/19/2023 12:00,23.78,22.86,111,0.19,No action needed,0
4/19/2023 13:00,21.86,30.49,54,0.22,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.58
4/19/2023 14:00,8.83,34.62,128,0.15,No action needed,0
4/19/2023 15:00,7.19,26.05,46,0.25,Shift heavy operations to off-peak hours.,0.13
4/19/2023 16:00,9.07,25.55,50,0.13,No action needed,0
4/19/2023 17:00,19.43,28.55,129,0.11,No action needed,0
4/19/2023 18:00,13.58,16.79,6,0.23,Turn off unnecessary lights in unoccupied areas.; Shift heavy operations to off-peak hours.,0.31
4/19/2023 19:00,7.34,16.13,126,0.13,No action needed,0
4/19/2023 20:00,21.45,21.42,83,0.18,No action needed,0
4/19/2023 21:00,13.12,29.31,66,0.27,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.39
4/19/2023 22:00,15.4,25.52,41,0.16,No action needed,0
4/19/2023 23:00,22.61,17.15,45,0.22,Shift heavy operations to off-peak hours.,0.35
4/20/2023 0:00,22.68,18.7,79,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.65
4/20/2023 1:00,15.21,24.4,67,0.22,Shift heavy operations to off-peak hours.,0.23
4/20/2023 2:00,10.42,15.72,81,0.2,No action needed,0
4/20/2023 3:00,17.78,27.73,148,0.24,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.47
4/20/2023 4:00,14.14,29.1,110,0.26,Shift heavy operations to off-peak hours.,0.26
4/20/2023 5:00,16.44,15.44,45,0.21,Shift heavy operations to off-peak hours.,0.24
4/20/2023 6:00,10.71,17.58,7,0.19,Turn off unnecessary lights in unoccupied areas.,0.06
4/20/2023 7:00,19.09,18.02,101,0.24,Shift heavy operations to off-peak hours.,0.32
4/20/2023 8:00,18.38,32.27,149,0.28,Shift heavy operations to off-peak hours.,0.36
4/20/2023 9:00,6.23,28.67,107,0.18,No action needed,0
4/20/2023 10:00,16.36,28.21,143,0.26,Shift heavy operations to off-peak hours.,0.3
4/20/2023 11:00,22.38,17.94,42,0.18,No action needed,0
4/20/2023 12:00,10.11,22.63,36,0.22,Shift heavy operations to off-peak hours.,0.16
4/20/2023 13:00,24.14,24.34,5,0.11,Turn off unnecessary lights in unoccupied areas.; Investigate devices left on overnight.,0.19
4/20/2023 14:00,15.88,23.1,13,0.15,Investigate devices left on overnight.,0.1
4/20/2023 15:00,23.45,26.83,84,0.15,Reduce HVAC cooling to save energy.,0.18
4/20/2023 16:00,15.47,28.7,135,0.1,No action needed,0
4/20/2023 17:00,18.86,21.41,44,0.3,Shift heavy operations to off-peak hours.,0.4
4/20/2023 18:00,18.04,28.21,55,0.21,Shift heavy operations to off-peak hours.,0.27
4/20/2023 19:00,23.1,28.67,144,0.18,Reduce HVAC cooling to save energy.,0.21
4/20/2023 20:00,23.86,34.89,80,0.21,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.8
4/20/2023 21:00,17.72,33.6,31,0.21,Shift heavy operations to off-peak hours.,0.26
4/20/2023 22:00,6.83,34.5,52,0.24,Shift heavy operations to off-peak hours.,0.11
4/20/2023 23:00,11.43,22.63,35,0.3,Shift heavy operations to off-peak hours.,0.24
4/21/2023 0:00,17.01,23.83,51,0.24,Shift heavy operations to off-peak hours.,0.29
4/21/2023 1:00,15.83,32.1,88,0.14,No action needed,0
4/21/2023 2:00,12.44,32.87,86,0.23,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.31
4/21/2023 3:00,6.5,33.03,6,0.18,Turn off unnecessary lights in unoccupied areas.,0.04
4/21/2023 4:00,13,16.62,62,0.28,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.4
4/21/2023 5:00,19.47,32.74,35,0.15,No action needed,0
4/21/2023 6:00,14.32,30.45,77,0.2,Investigate devices left on overnight.,0.11
4/21/2023 7:00,6.17,27.65,58,0.12,No action needed,0
4/21/2023 8:00,12.53,32.34,86,0.25,Shift heavy operations to off-peak hours.,0.22
4/21/2023 9:00,14.19,15.95,129,0.2,No action needed,0
4/21/2023 10:00,12.27,32.53,93,0.19,Investigate devices left on overnight.,0.09
4/21/2023 11:00,17.89,29.49,28,0.13,No action needed,0
4/21/2023 12:00,24.54,32.54,12,0.24,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.71
4/21/2023 13:00,9.62,24.65,22,0.28,Shift heavy operations to off-peak hours.,0.19
4/21/2023 14:00,14.55,18.75,91,0.26,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.42
4/21/2023 15:00,20.06,24.01,125,0.27,Shift heavy operations to off-peak hours.,0.38
4/21/2023 16:00,9.51,27.28,137,0.22,Shift heavy operations to off-peak hours.,0.15
4/21/2023 17:00,16.51,19.8,137,0.25,Shift heavy operations to off-peak hours.,0.29
4/21/2023 18:00,24.61,28.03,63,0.17,Reduce HVAC cooling to save energy.,0.21
4/21/2023 19:00,6.17,34.51,16,0.17,No action needed,0
4/21/2023 20:00,17.96,19.9,61,0.2,No action needed,0
4/21/2023 21:00,19.81,16.52,117,0.2,Investigate devices left on overnight.,0.16
4/21/2023 22:00,11.53,24.24,79,0.14,No action needed,0
4/21/2023 23:00,15.73,17.01,41,0.28,Shift heavy operations to off-peak hours.,0.31
4/22/2023 0:00,20.09,31.44,44,0.29,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.,0.7
4/22/2023 1:00,7.02,27.13,50,0.13,No action needed,0
4/22/2023 2:00,17.61,30.34,75,0.21,Shift heavy operations to off-peak hours.,0.26
4/22/2023 3:00,15.14,28.99,41,0.17,No action needed,0
4/22/2023 4:00,14.91,22.97,127,0.12,No action needed,0
4/22/2023 5:00,6.77,23.3,87,0.23,Shift heavy operations to off-peak hours.,0.11
4/22/2023 6:00,13.73,31.98,18,0.27,Shift heavy operations to off-peak hours.,0.26
4/22/2023 7:00,16.73,19.34,25,0.24,Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.44
4/22/2023 8:00,5.98,21.19,59,0.1,No action needed,0
4/22/2023 9:00,12.03,25.73,57,0.15,No action needed,0
4/22/2023 10:00,12.53,18.61,107,0.19,Investigate devices left on overnight.,0.1
4/22/2023 11:00,5.72,29.1,96,0.24,Shift heavy operations to off-peak hours.,0.1
4/22/2023 12:00,23.53,17.91,38,0.25,Shift heavy operations to off-peak hours.,0.41
4/22/2023 13:00,24.09,29.14,102,0.12,Reduce HVAC cooling to save energy.,0.14
4/22/2023 14:00,5.83,33.28,64,0.14,No action needed,0
4/22/2023 15:00,21.31,34.61,64,0.22,Reduce HVAC cooling to save energy.; Shift heavy operations to off-peak hours.; Investigate devices left on overnight.,0.75
4/22/2023 16:00,5.5,15.43,35,0.11,No action needed,0
4/22/2023 17:00,14.9,27.71,20,0.25,Shift heavy operations to off-peak hours.,0.26
4/22/2023 18:00,10.41,34.43,40,0.27,Shift heavy operations to off-peak hours.,0.2
4/22/2023 19:00,20.65,20.26,128,0.16,No action needed,0
4/22/2023 20:00,13.21,21.93,18,0.14,No action needed,0
4/22/2023 21:00,8.3,19.97,48,0.18,No action needed,0
