,Season,Temperature (°C),Humidity (%),Wind Speed (m/s),Sunlight (W/m²),Building Occupancy,Energy Tariff ($/kWh),Energy Consumption (kWh),Timestamp
1808,Spring,10.55,37.54,5.38,872.33,6,0.12,6.45,2023-03-17 08:00:00
1809,Spring,15.98,47.69,16.5,49.75,22,0.21,9.9,2023-03-17 09:00:00
1810,Spring,14.92,53.27,5.62,96.86,6,0.09,10.54,2023-03-17 10:00:00
1811,Spring,13.77,45.25,9.93,560.62,14,0.06,4.92,2023-03-17 11:00:00
1812,Spring,13.03,46.84,10.93,273.8,28,0.12,10.22,2023-03-17 12:00:00
1813,Spring,12.71,46.24,10.77,859.9,24,0.11,9.08,2023-03-17 13:00:00
1814,Spring,17.88,61.27,5.44,174.47,19,0.06,7.96,2023-03-17 14:00:00
1815,Spring,13.77,56.95,16.43,995.39,10,0.1,9.87,2023-03-17 15:00:00
1816,Spring,18.04,49.62,2.21,332.17,23,0.14,12.42,2023-03-17 16:00:00
1817,Spring,17.62,74.53,3.81,400.03,18,0.11,13.58,2023-03-17 17:00:00
1818,Spring,18.87,40.62,15.69,444.27,22,0.14,13.15,2023-03-17 18:00:00
1819,Spring,16.58,42.0,1.12,593.69,19,0.07,8.32,2023-03-17 19:00:00
1820,Spring,19.68,40.76,8.22,147.54,14,0.05,10.01,2023-03-17 20:00:00
1821,Spring,19.07,49.71,10.87,990.51,186,0.11,14.12,2023-03-17 21:00:00
1822,Spring,13.39,42.3,1.92,26.81,191,0.15,13.28,2023-03-17 22:00:00
1823,Spring,19.24,64.65,4.15,521.13,184,0.19,14.08,2023-03-17 23:00:00
1824,Spring,11.43,44.93,14.49,824.26,196,0.28,14.17,2023-03-18 00:00:00
1825,Spring,16.61,54.96,7.56,743.35,127,0.14,12.36,2023-03-18 01:00:00
1826,Spring,17.23,69.44,2.34,288.29,57,0.24,10.06,2023-03-18 02:00:00
1827,Spring,10.64,44.84,18.13,75.41,109,0.13,13.23,2023-03-18 03:00:00
1828,Spring,12.39,61.46,17.75,585.86,193,0.15,14.46,2023-03-18 04:00:00
1829,Spring,16.57,78.32,2.43,749.46,71,0.26,10.47,2023-03-18 05:00:00
1830,Spring,11.93,76.34,13.29,877.9,134,0.27,15.19,2023-03-18 06:00:00
1831,Spring,18.42,67.23,1.85,544.1,179,0.3,10.14,2023-03-18 07:00:00
1832,Spring,15.79,46.57,7.36,167.66,22,0.19,9.41,2023-03-18 08:00:00
1833,Spring,11.1,60.58,5.16,972.69,24,0.15,11.78,2023-03-18 09:00:00
1834,Spring,10.92,69.66,17.54,129.05,17,0.09,10.86,2023-03-18 10:00:00
1835,Spring,16.1,79.85,11.31,944.08,7,0.09,3.57,2023-03-18 11:00:00
1836,Spring,13.45,44.75,11.9,627.39,20,0.06,13.84,2023-03-18 12:00:00
1837,Spring,15.58,31.17,15.28,280.91,30,0.09,11.8,2023-03-18 13:00:00
1838,Spring,18.19,41.81,3.93,958.02,6,0.08,7.28,2023-03-18 14:00:00
1839,Spring,15.35,77.35,2.93,988.87,29,0.14,7.78,2023-03-18 15:00:00
1840,Spring,14.45,45.6,4.28,695.74,6,0.09,12.04,2023-03-18 16:00:00
1841,Spring,18.99,64.78,8.26,211.17,14,0.13,10.01,2023-03-18 17:00:00
1842,Spring,14.94,74.94,12.86,146.19,15,0.1,10.01,2023-03-18 18:00:00
1843,Spring,17.27,52.64,4.29,493.79,30,0.13,10.71,2023-03-18 19:00:00
1844,Spring,19.94,68.13,2.03,698.17,21,0.1,6.11,2023-03-18 20:00:00
1845,Spring,10.18,67.83,10.88,636.7,124,0.24,14.2,2023-03-18 21:00:00
1846,Spring,18.79,61.62,2.87,16.27,112,0.11,15.03,2023-03-18 22:00:00
1847,Spring,16.54,68.87,13.47,78.33,81,0.1,10.42,2023-03-18 23:00:00
1848,Spring,13.18,69.95,19.15,612.6,158,0.18,14.81,2023-03-19 00:00:00
1849,Spring,13.23,56.99,15.28,649.49,95,0.18,11.2,2023-03-19 01:00:00
1850,Spring,12.48,76.19,2.91,769.47,188,0.26,8.78,2023-03-19 02:00:00
1851,Spring,11.45,39.47,18.36,528.15,102,0.21,11.64,2023-03-19 03:00:00
1852,Spring,14.31,57.5,13.88,165.61,163,0.17,9.04,2023-03-19 04:00:00
1853,Spring,16.44,42.94,5.79,394.28,196,0.13,16.47,2023-03-19 05:00:00
1854,Spring,11.47,34.05,15.96,22.58,50,0.14,9.46,2023-03-19 06:00:00
1855,Spring,14.41,37.55,10.58,749.07,71,0.21,7.07,2023-03-19 07:00:00
1856,Spring,12.33,35.17,9.91,446.93,7,0.2,11.26,2023-03-19 08:00:00
1857,Spring,18.34,52.2,0.67,843.97,27,0.29,6.61,2023-03-19 09:00:00
1858,Spring,17.52,50.49,2.04,260.84,15,0.12,13.09,2023-03-19 10:00:00
1859,Spring,18.38,66.8,7.57,448.07,5,0.06,4.98,2023-03-19 11:00:00
1860,Spring,18.48,59.04,14.45,432.06,29,0.1,7.31,2023-03-19 12:00:00
1861,Spring,18.25,41.76,6.93,506.24,8,0.12,7.67,2023-03-19 13:00:00
1862,Spring,12.96,70.74,6.86,967.25,19,0.15,11.83,2023-03-19 14:00:00
1863,Spring,10.33,71.28,18.06,372.08,29,0.11,7.14,2023-03-19 15:00:00
1864,Spring,12.37,40.93,11.67,165.5,9,0.11,6.12,2023-03-19 16:00:00
1865,Spring,11.47,32.29,18.52,994.84,11,0.13,3.57,2023-03-19 17:00:00
1866,Spring,19.39,78.03,19.32,577.26,14,0.06,6.04,2023-03-19 18:00:00
1867,Spring,14.8,36.41,10.02,409.47,9,0.08,8.3,2023-03-19 19:00:00
1868,Spring,11.25,61.04,19.57,516.16,7,0.11,10.41,2023-03-19 20:00:00
1869,Spring,13.76,71.38,1.72,149.25,71,0.13,8.8,2023-03-19 21:00:00
1870,Spring,13.46,67.48,6.53,582.47,63,0.2,11.91,2023-03-19 22:00:00
1871,Spring,17.51,64.25,0.21,644.46,84,0.22,8.99,2023-03-19 23:00:00
1872,Spring,14.49,75.69,8.4,253.12,153,0.26,13.1,2023-03-20 00:00:00
1873,Spring,10.63,38.9,6.96,227.92,134,0.13,11.9,2023-03-20 01:00:00
1874,Spring,17.77,63.53,17.3,806.1,88,0.23,6.39,2023-03-20 02:00:00
1875,Spring,13.48,64.04,7.32,206.39,119,0.28,17.0,2023-03-20 03:00:00
1876,Spring,10.12,79.31,13.04,862.07,148,0.25,15.27,2023-03-20 04:00:00
1877,Spring,16.58,69.33,0.18,597.33,87,0.2,10.69,2023-03-20 05:00:00
1878,Spring,12.4,48.28,9.12,610.97,131,0.13,12.03,2023-03-20 06:00:00
1879,Spring,15.19,54.8,10.92,838.47,52,0.23,8.11,2023-03-20 07:00:00
1880,Spring,17.85,40.48,12.38,485.04,29,0.29,8.48,2023-03-20 08:00:00
1881,Spring,13.81,50.55,18.86,297.82,22,0.25,6.77,2023-03-20 09:00:00
1882,Spring,16.42,58.38,3.07,182.54,29,0.14,9.26,2023-03-20 10:00:00
1883,Spring,16.17,33.53,2.34,820.69,15,0.07,13.52,2023-03-20 11:00:00
1884,Spring,11.68,49.89,7.04,590.46,17,0.13,11.76,2023-03-20 12:00:00
1885,Spring,11.24,78.16,9.41,787.87,23,0.11,8.13,2023-03-20 13:00:00
1886,Spring,18.14,33.63,6.98,742.92,7,0.11,8.2,2023-03-20 14:00:00
1887,Spring,12.81,68.4,3.48,928.76,48,0.09,6.8,2023-03-20 15:00:00
1888,Spring,14.57,72.09,6.78,667.15,14,0.08,9.27,2023-03-20 16:00:00
1889,Spring,15.18,43.84,0.25,6.42,18,0.09,13.15,2023-03-20 17:00:00
1890,Spring,11.35,79.04,18.97,857.52,16,0.09,5.45,2023-03-20 18:00:00
1891,Spring,17.89,64.69,19.3,555.27,36,0.09,5.4,2023-03-20 19:00:00
1892,Spring,17.83,78.25,4.76,997.43,9,0.06,4.11,2023-03-20 20:00:00
1893,Spring,11.73,68.45,13.46,916.63,36,0.26,5.28,2023-03-20 21:00:00
1894,Spring,19.82,42.75,14.38,868.88,42,0.22,12.53,2023-03-20 22:00:00
1895,Spring,12.78,32.77,9.42,989.44,26,0.19,6.54,2023-03-20 23:00:00
1896,Spring,16.67,73.54,6.57,798.95,36,0.14,8.35,2023-03-21 00:00:00
1897,Spring,11.0,45.07,0.44,978.76,5,0.13,7.56,2023-03-21 01:00:00
1898,Spring,18.93,45.63,17.0,500.41,8,0.13,7.55,2023-03-21 02:00:00
1899,Spring,15.17,68.06,10.91,79.23,44,0.27,13.51,2023-03-21 03:00:00
1900,Spring,17.87,61.98,18.76,204.71,43,0.28,5.9,2023-03-21 04:00:00
1901,Spring,18.54,34.94,19.86,624.94,49,0.18,13.28,2023-03-21 05:00:00
1902,Spring,12.58,79.01,10.16,575.98,50,0.11,5.16,2023-03-21 06:00:00
1903,Spring,18.56,63.65,6.76,2.86,40,0.29,6.06,2023-03-21 07:00:00
1904,Spring,14.05,51.12,4.48,871.0,22,0.3,4.56,2023-03-21 08:00:00
1905,Spring,17.25,72.59,6.28,924.81,24,0.3,9.28,2023-03-21 09:00:00
1906,Spring,19.93,63.66,19.8,611.19,25,0.15,9.85,2023-03-21 10:00:00
1907,Spring,16.96,50.12,16.59,379.86,23,0.15,5.95,2023-03-21 11:00:00
1908,Spring,11.79,75.85,5.11,558.98,19,0.05,12.89,2023-03-21 12:00:00
1909,Spring,13.5,48.85,0.36,745.82,48,0.11,13.28,2023-03-21 13:00:00
1910,Spring,19.09,65.45,10.42,190.14,6,0.13,12.43,2023-03-21 14:00:00
1911,Spring,13.78,32.93,0.32,920.42,23,0.06,11.49,2023-03-21 15:00:00
1912,Spring,12.8,63.14,15.49,509.92,37,0.11,13.53,2023-03-21 16:00:00
1913,Spring,12.07,64.25,8.2,990.74,22,0.07,10.27,2023-03-21 17:00:00
1914,Spring,14.42,30.17,16.89,136.65,13,0.11,12.65,2023-03-21 18:00:00
1915,Spring,14.48,64.11,4.5,518.45,18,0.13,6.19,2023-03-21 19:00:00
1916,Spring,12.86,60.82,4.72,550.91,39,0.14,12.56,2023-03-21 20:00:00
1917,Spring,19.87,66.9,17.45,40.94,38,0.11,5.85,2023-03-21 21:00:00
1918,Spring,12.77,66.93,15.38,263.43,34,0.1,10.67,2023-03-21 22:00:00
1919,Spring,15.68,54.74,13.8,583.41,44,0.27,9.34,2023-03-21 23:00:00
1920,Spring,19.21,63.59,1.81,763.31,32,0.16,7.31,2023-03-22 00:00:00
1921,Spring,15.69,37.05,14.55,616.36,42,0.12,5.45,2023-03-22 01:00:00
1922,Spring,12.66,38.76,17.37,316.31,18,0.29,14.24,2023-03-22 02:00:00
1923,Spring,14.79,63.42,7.43,484.55,14,0.13,14.05,2023-03-22 03:00:00
1924,Spring,17.36,76.23,12.16,278.9,50,0.16,6.89,2023-03-22 04:00:00
1925,Spring,11.56,55.54,6.51,573.92,27,0.16,9.84,2023-03-22 05:00:00
1926,Spring,10.49,71.56,15.51,258.32,13,0.27,6.16,2023-03-22 06:00:00
1927,Spring,18.6,41.43,10.79,787.29,21,0.16,4.59,2023-03-22 07:00:00
1928,Spring,19.22,55.4,1.56,324.33,41,0.27,13.85,2023-03-22 08:00:00
1929,Spring,18.2,56.65,17.44,833.79,15,0.29,9.14,2023-03-22 09:00:00
1930,Spring,17.46,43.81,19.19,220.61,37,0.1,8.82,2023-03-22 10:00:00
1931,Spring,11.16,33.62,9.52,440.91,10,0.13,4.56,2023-03-22 11:00:00
1932,Spring,12.97,69.19,14.85,346.64,40,0.13,9.84,2023-03-22 12:00:00
1933,Spring,15.72,35.22,1.18,370.43,10,0.06,6.08,2023-03-22 13:00:00
1934,Spring,19.45,68.37,15.48,41.66,22,0.06,9.17,2023-03-22 14:00:00
1935,Spring,15.08,47.27,3.31,758.11,23,0.14,12.51,2023-03-22 15:00:00
1936,Spring,19.69,77.47,2.99,66.34,15,0.09,7.81,2023-03-22 16:00:00
1937,Spring,13.15,51.64,5.97,487.95,14,0.11,9.9,2023-03-22 17:00:00
1938,Spring,16.95,56.86,12.36,213.91,15,0.1,9.61,2023-03-22 18:00:00
1939,Spring,12.93,31.21,8.33,915.46,8,0.08,3.61,2023-03-22 19:00:00
1940,Spring,10.31,54.35,18.17,783.78,6,0.14,4.17,2023-03-22 20:00:00
1941,Spring,13.25,75.79,15.6,169.4,79,0.26,10.97,2023-03-22 21:00:00
1942,Spring,17.97,71.57,15.03,492.59,148,0.2,15.74,2023-03-22 22:00:00
1943,Spring,13.99,31.82,4.65,894.1,61,0.28,9.7,2023-03-22 23:00:00
1944,Spring,13.81,67.3,10.1,447.38,63,0.23,9.42,2023-03-23 00:00:00
1945,Spring,11.71,50.17,13.95,20.76,144,0.12,15.91,2023-03-23 01:00:00
1946,Spring,12.04,38.7,13.22,672.51,151,0.14,10.9,2023-03-23 02:00:00
1947,Spring,13.23,70.65,16.69,174.63,161,0.13,15.85,2023-03-23 03:00:00
1948,Spring,11.19,70.27,16.96,568.61,75,0.18,14.97,2023-03-23 04:00:00
1949,Spring,18.28,67.17,4.63,318.9,59,0.1,14.57,2023-03-23 05:00:00
1950,Spring,11.5,64.05,3.59,913.04,179,0.17,12.73,2023-03-23 06:00:00
1951,Spring,12.01,65.17,7.97,277.87,178,0.15,17.39,2023-03-23 07:00:00
1952,Spring,16.54,57.83,5.78,917.59,12,0.23,8.8,2023-03-23 08:00:00
1953,Spring,11.38,76.6,1.73,480.57,14,0.1,9.46,2023-03-23 09:00:00
1954,Spring,16.78,79.95,19.73,417.81,19,0.13,13.56,2023-03-23 10:00:00
1955,Spring,12.55,45.9,8.41,848.8,26,0.13,7.85,2023-03-23 11:00:00
1956,Spring,15.48,70.2,0.92,631.28,8,0.13,5.73,2023-03-23 12:00:00
1957,Spring,17.05,53.92,3.59,980.81,20,0.12,11.63,2023-03-23 13:00:00
1958,Spring,14.68,76.57,6.09,821.7,19,0.06,8.03,2023-03-23 14:00:00
1959,Spring,10.73,78.25,8.19,4.52,22,0.09,13.2,2023-03-23 15:00:00
1960,Spring,17.32,58.77,12.68,989.02,20,0.15,11.44,2023-03-23 16:00:00
1961,Spring,13.18,61.21,0.08,460.15,5,0.11,9.23,2023-03-23 17:00:00
1962,Spring,17.42,31.06,4.27,908.25,20,0.07,9.52,2023-03-23 18:00:00
1963,Spring,15.17,39.02,19.01,504.91,26,0.05,10.03,2023-03-23 19:00:00
1964,Spring,10.92,42.74,11.41,297.6,5,0.06,5.15,2023-03-23 20:00:00
1965,Spring,12.77,74.49,14.2,595.87,92,0.17,8.35,2023-03-23 21:00:00
1966,Spring,11.6,33.52,14.53,240.03,108,0.17,11.09,2023-03-23 22:00:00
1967,Spring,19.72,72.24,14.63,263.47,195,0.21,14.5,2023-03-23 23:00:00
1968,Spring,13.36,30.31,16.65,479.93,159,0.22,17.26,2023-03-24 00:00:00
1969,Spring,18.24,59.08,9.22,620.98,64,0.14,13.53,2023-03-24 01:00:00
1970,Spring,19.22,67.21,5.88,31.57,119,0.17,14.49,2023-03-24 02:00:00
1971,Spring,19.4,36.88,12.29,514.21,158,0.15,12.88,2023-03-24 03:00:00
1972,Spring,17.31,63.75,19.15,583.67,65,0.14,13.81,2023-03-24 04:00:00
1973,Spring,18.46,32.59,8.01,542.78,143,0.2,14.31,2023-03-24 05:00:00
1974,Spring,16.74,54.73,7.08,884.63,62,0.29,10.76,2023-03-24 06:00:00
1975,Spring,17.62,72.04,0.44,749.14,62,0.15,7.26,2023-03-24 07:00:00
1976,Spring,17.63,44.27,1.06,523.02,27,0.14,13.82,2023-03-24 08:00:00
1977,Spring,16.99,59.94,5.84,145.78,18,0.25,9.57,2023-03-24 09:00:00
1978,Spring,19.85,71.61,9.84,455.83,22,0.15,9.82,2023-03-24 10:00:00
1979,Spring,17.16,39.26,11.24,351.36,26,0.14,12.74,2023-03-24 11:00:00
1980,Spring,16.87,52.79,19.22,151.62,26,0.14,8.77,2023-03-24 12:00:00
1981,Spring,14.48,54.17,18.01,42.65,28,0.12,12.21,2023-03-24 13:00:00
1982,Spring,13.39,73.85,13.49,510.08,26,0.08,8.46,2023-03-24 14:00:00
1983,Spring,16.49,49.49,7.95,436.96,6,0.1,9.34,2023-03-24 15:00:00
1984,Spring,19.57,33.78,6.55,911.06,27,0.13,9.02,2023-03-24 16:00:00
1985,Spring,16.31,52.23,4.36,160.28,9,0.1,11.52,2023-03-24 17:00:00
1986,Spring,13.71,47.28,7.47,247.5,12,0.13,6.03,2023-03-24 18:00:00
1987,Spring,15.49,34.95,13.69,821.94,15,0.13,12.41,2023-03-24 19:00:00
1988,Spring,11.0,48.72,6.54,490.39,20,0.12,11.14,2023-03-24 20:00:00
1989,Spring,15.01,40.87,18.79,693.94,97,0.23,12.22,2023-03-24 21:00:00
1990,Spring,15.45,61.39,1.35,743.41,158,0.23,11.82,2023-03-24 22:00:00
1991,Spring,13.58,37.85,3.9,716.65,79,0.22,7.61,2023-03-24 23:00:00
1992,Spring,16.11,66.12,17.25,210.48,146,0.11,11.21,2023-03-25 00:00:00
1993,Spring,14.99,35.77,12.45,749.36,107,0.19,10.76,2023-03-25 01:00:00
1994,Spring,10.32,77.69,4.88,689.56,55,0.24,10.86,2023-03-25 02:00:00
1995,Spring,15.11,78.64,9.8,713.39,107,0.26,10.11,2023-03-25 03:00:00
1996,Spring,19.79,77.93,15.74,38.88,197,0.28,15.86,2023-03-25 04:00:00
1997,Spring,13.1,73.54,8.38,761.59,183,0.14,17.16,2023-03-25 05:00:00
1998,Spring,11.04,42.12,7.05,763.27,51,0.15,8.07,2023-03-25 06:00:00
1999,Spring,15.84,37.22,13.44,943.83,57,0.19,7.82,2023-03-25 07:00:00
2000,Spring,17.95,42.09,8.99,888.04,7,0.15,8.74,2023-03-25 08:00:00
2001,Spring,16.06,42.13,15.77,913.09,24,0.25,10.14,2023-03-25 09:00:00
2002,Spring,18.73,56.77,14.84,928.74,16,0.08,7.14,2023-03-25 10:00:00
2003,Spring,15.16,57.35,1.7,809.12,5,0.07,4.54,2023-03-25 11:00:00
2004,Spring,15.17,36.01,15.23,885.89,23,0.12,5.29,2023-03-25 12:00:00
2005,Spring,15.43,65.98,9.63,292.24,5,0.06,11.16,2023-03-25 13:00:00
2006,Spring,16.73,53.58,12.26,850.51,20,0.08,5.73,2023-03-25 14:00:00
2007,Spring,19.04,37.87,5.08,495.31,17,0.14,10.41,2023-03-25 15:00:00
2008,Spring,10.74,68.95,8.5,366.26,5,0.14,10.39,2023-03-25 16:00:00
2009,Spring,16.0,58.18,18.11,782.23,9,0.14,11.41,2023-03-25 17:00:00
2010,Spring,13.6,33.85,3.5,118.11,6,0.05,10.3,2023-03-25 18:00:00
2011,Spring,11.48,44.03,19.87,89.31,15,0.08,12.05,2023-03-25 19:00:00
2012,Spring,10.36,47.14,19.67,249.4,16,0.11,8.98,2023-03-25 20:00:00
2013,Spring,17.67,45.33,19.07,992.64,98,0.25,8.38,2023-03-25 21:00:00
2014,Spring,10.33,42.82,19.09,273.36,62,0.15,10.05,2023-03-25 22:00:00
2015,Spring,15.65,69.46,2.63,606.47,52,0.18,6.95,2023-03-25 23:00:00
2016,Spring,12.2,49.3,13.65,777.42,82,0.18,10.28,2023-03-26 00:00:00
2017,Spring,10.36,66.37,8.12,11.81,143,0.29,13.94,2023-03-26 01:00:00
2018,Spring,17.74,38.11,17.8,681.31,95,0.21,10.73,2023-03-26 02:00:00
2019,Spring,10.56,48.29,10.7,290.51,124,0.11,9.47,2023-03-26 03:00:00
2020,Spring,11.26,51.83,17.06,812.93,76,0.18,5.47,2023-03-26 04:00:00
2021,Spring,10.47,77.23,2.08,806.92,134,0.13,7.0,2023-03-26 05:00:00
2022,Spring,18.81,30.29,8.05,857.27,61,0.12,7.18,2023-03-26 06:00:00
2023,Spring,15.49,39.34,6.56,923.75,192,0.27,11.88,2023-03-26 07:00:00
2024,Spring,19.63,48.34,6.88,271.3,21,0.18,8.82,2023-03-26 08:00:00
2025,Spring,16.45,48.64,11.84,645.73,27,0.19,13.22,2023-03-26 09:00:00
2026,Spring,10.4,58.01,18.08,862.83,6,0.14,7.23,2023-03-26 10:00:00
2027,Spring,18.15,30.11,13.31,587.37,8,0.13,10.33,2023-03-26 11:00:00
2028,Spring,18.5,71.89,0.61,729.54,20,0.08,8.51,2023-03-26 12:00:00
2029,Spring,12.04,37.35,6.97,13.87,15,0.12,12.71,2023-03-26 13:00:00
2030,Spring,14.07,42.1,4.2,543.5,28,0.13,10.82,2023-03-26 14:00:00
2031,Spring,16.06,59.68,9.85,387.36,8,0.11,13.36,2023-03-26 15:00:00
2032,Spring,10.43,72.16,7.78,632.17,5,0.07,12.43,2023-03-26 16:00:00
2033,Spring,15.0,70.36,2.01,779.34,14,0.15,11.78,2023-03-26 17:00:00
2034,Spring,18.63,42.45,17.06,447.06,19,0.07,12.5,2023-03-26 18:00:00
2035,Spring,14.65,62.78,12.27,782.6,7,0.05,12.18,2023-03-26 19:00:00
2036,Spring,16.04,63.66,11.07,180.9,9,0.14,13.68,2023-03-26 20:00:00
2037,Spring,16.05,37.38,9.08,572.48,161,0.24,15.81,2023-03-26 21:00:00
2038,Spring,11.94,73.74,14.02,876.69,94,0.13,9.64,2023-03-26 22:00:00
2039,Spring,16.3,31.48,9.33,502.81,172,0.15,15.5,2023-03-26 23:00:00
2040,Spring,11.19,72.89,7.79,990.16,72,0.27,6.98,2023-03-27 00:00:00
2041,Spring,17.92,43.21,16.06,262.16,75,0.2,8.96,2023-03-27 01:00:00
2042,Spring,13.03,74.82,15.75,880.88,179,0.27,9.6,2023-03-27 02:00:00
2043,Spring,13.64,77.72,7.08,989.23,100,0.29,12.96,2023-03-27 03:00:00
2044,Spring,16.47,77.66,10.05,430.49,111,0.17,13.66,2023-03-27 04:00:00
2045,Spring,14.18,70.95,14.73,876.17,154,0.27,8.4,2023-03-27 05:00:00
2046,Spring,17.96,65.32,8.6,494.82,193,0.14,10.68,2023-03-27 06:00:00
2047,Spring,18.9,58.67,4.06,132.37,136,0.26,14.08,2023-03-27 07:00:00
2048,Spring,13.98,32.69,1.81,292.23,29,0.26,8.7,2023-03-27 08:00:00
2049,Spring,16.84,31.9,7.91,627.12,11,0.15,6.81,2023-03-27 09:00:00
2050,Spring,13.59,74.13,17.45,944.31,9,0.12,11.87,2023-03-27 10:00:00
2051,Spring,11.51,60.05,9.66,111.37,10,0.07,9.55,2023-03-27 11:00:00
2052,Spring,17.28,51.22,0.86,578.98,8,0.15,12.35,2023-03-27 12:00:00
2053,Spring,14.0,61.24,19.12,828.97,13,0.07,9.92,2023-03-27 13:00:00
2054,Spring,16.48,70.1,10.45,72.89,8,0.14,9.16,2023-03-27 14:00:00
2055,Spring,15.36,78.32,4.79,744.97,26,0.07,4.52,2023-03-27 15:00:00
2056,Spring,13.64,42.24,17.01,45.87,33,0.09,12.86,2023-03-27 16:00:00
2057,Spring,13.01,39.36,16.73,639.26,37,0.1,8.77,2023-03-27 17:00:00
2058,Spring,15.62,65.23,12.57,815.27,42,0.12,5.14,2023-03-27 18:00:00
2059,Spring,13.34,42.07,5.36,70.36,43,0.13,10.9,2023-03-27 19:00:00
2060,Spring,19.13,51.16,18.17,416.95,30,0.08,7.53,2023-03-27 20:00:00
2061,Spring,10.36,77.59,14.42,533.32,49,0.16,7.25,2023-03-27 21:00:00
2062,Spring,11.45,43.47,8.02,157.29,22,0.28,9.4,2023-03-27 22:00:00
2063,Spring,10.16,45.63,6.38,507.3,33,0.14,10.28,2023-03-27 23:00:00
2064,Spring,13.3,67.43,19.67,438.33,42,0.27,14.39,2023-03-28 00:00:00
2065,Spring,15.74,72.59,5.99,256.13,31,0.22,5.3,2023-03-28 01:00:00
2066,Spring,11.9,73.83,14.38,850.29,19,0.2,6.88,2023-03-28 02:00:00
2067,Spring,11.86,33.88,18.94,573.47,50,0.16,5.05,2023-03-28 03:00:00
2068,Spring,18.96,54.25,15.72,232.07,43,0.16,5.86,2023-03-28 04:00:00
2069,Spring,16.75,40.39,13.42,36.03,29,0.14,15.6,2023-03-28 05:00:00
2070,Spring,17.3,37.75,5.08,137.82,42,0.2,10.93,2023-03-28 06:00:00
2071,Spring,19.17,54.9,4.78,615.25,33,0.26,13.88,2023-03-28 07:00:00
2072,Spring,14.24,58.82,19.44,491.99,45,0.13,11.9,2023-03-28 08:00:00
2073,Spring,15.05,43.14,17.88,409.94,38,0.18,7.09,2023-03-28 09:00:00
2074,Spring,14.57,38.13,10.13,654.2,13,0.12,8.72,2023-03-28 10:00:00
2075,Spring,17.73,68.39,11.33,199.29,9,0.15,12.06,2023-03-28 11:00:00
2076,Spring,17.76,58.14,0.2,678.58,25,0.09,6.13,2023-03-28 12:00:00
2077,Spring,15.27,46.12,16.38,480.44,21,0.14,12.34,2023-03-28 13:00:00
2078,Spring,14.56,49.15,19.27,895.24,28,0.13,7.58,2023-03-28 14:00:00
2079,Spring,11.1,51.94,16.99,765.47,23,0.12,4.56,2023-03-28 15:00:00
2080,Spring,13.45,37.18,6.55,760.19,50,0.15,5.55,2023-03-28 16:00:00
2081,Spring,19.33,46.85,0.54,755.41,5,0.07,13.53,2023-03-28 17:00:00
2082,Spring,12.14,57.69,6.82,556.2,48,0.09,12.58,2023-03-28 18:00:00
2083,Spring,11.6,32.11,2.46,284.06,27,0.14,11.79,2023-03-28 19:00:00
2084,Spring,19.44,56.12,13.91,347.49,29,0.14,13.38,2023-03-28 20:00:00
2085,Spring,11.54,46.11,14.94,75.21,44,0.3,10.87,2023-03-28 21:00:00
2086,Spring,10.74,44.93,6.62,563.43,27,0.14,14.06,2023-03-28 22:00:00
2087,Spring,13.05,69.44,19.48,149.4,16,0.1,13.22,2023-03-28 23:00:00
2088,Spring,14.35,41.39,18.95,732.79,50,0.1,13.78,2023-03-29 00:00:00
2089,Spring,12.21,58.41,2.56,436.95,48,0.1,12.05,2023-03-29 01:00:00
2090,Spring,13.47,35.24,9.35,515.75,46,0.27,7.58,2023-03-29 02:00:00
2091,Spring,12.65,43.52,6.09,716.84,11,0.14,7.84,2023-03-29 03:00:00
2092,Spring,10.96,66.43,17.7,374.86,14,0.21,9.96,2023-03-29 04:00:00
2093,Spring,18.4,74.76,3.03,72.72,13,0.11,6.2,2023-03-29 05:00:00
2094,Spring,17.61,77.44,1.74,84.97,22,0.15,13.09,2023-03-29 06:00:00
2095,Spring,13.39,31.0,2.37,387.55,15,0.27,13.8,2023-03-29 07:00:00
2096,Spring,18.55,38.34,15.71,877.66,23,0.17,10.39,2023-03-29 08:00:00
2097,Spring,17.21,59.34,7.43,681.83,31,0.17,12.57,2023-03-29 09:00:00
2098,Spring,18.32,42.39,2.21,895.38,50,0.07,6.88,2023-03-29 10:00:00
2099,Spring,17.47,32.15,16.54,651.3,20,0.15,14.16,2023-03-29 11:00:00
2100,Spring,16.03,61.33,4.66,918.23,31,0.1,5.76,2023-03-29 12:00:00
2101,Spring,17.0,32.78,2.48,804.4,19,0.08,4.02,2023-03-29 13:00:00
2102,Spring,14.83,32.87,7.61,585.88,10,0.07,12.28,2023-03-29 14:00:00
2103,Spring,10.54,75.19,17.42,651.56,7,0.14,12.15,2023-03-29 15:00:00
2104,Spring,18.08,67.26,4.69,928.84,23,0.15,12.93,2023-03-29 16:00:00
2105,Spring,18.04,65.59,14.87,45.43,20,0.11,8.08,2023-03-29 17:00:00
2106,Spring,17.22,35.88,15.47,568.65,18,0.1,12.09,2023-03-29 18:00:00
2107,Spring,10.65,55.63,13.25,65.85,10,0.1,14.88,2023-03-29 19:00:00
2108,Spring,19.32,69.27,14.38,455.78,19,0.13,8.41,2023-03-29 20:00:00
2109,Spring,11.79,42.42,10.82,464.98,71,0.18,10.01,2023-03-29 21:00:00
